symbol,timeframe,strategy_id,strategy_name,status,trades,wins,losses,win_rate_pct,net_profit,total_return_pct,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,bars,error
EURUSD,1d,heikin_ashi_trend,Heikin-Ashi Trend Ride,OK,12,7,5,58.33,1315.61,13.16,9.42362483084401,109.63,1.4,5.507,8.018,200,
EURUSD,1d,woodie_pivot_reversal,Woodie Pivot Reversal,OK,25,4,21,16.0,-991.85,-9.92,0.3376856085131491,-39.67,11.64,-3.27,-3.767,200,
EURUSD,1d,cci_extreme_reversal,CCI Extreme Reversal,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200,
EURUSD,1d,mfi_volume_reversal,MFI Volume Reversal,OK,9,3,6,33.33,-28.58,-0.29,0.9361815863177402,-3.18,2.08,-0.158,-0.145,200,
EURUSD,1d,chandelier_trend_exit,Chandelier Trend Exit,OK,97,46,51,47.42,25.32,0.25,1.0210188989984958,0.26,4.44,0.116,0.19,200,
EURUSD,1d,liquidity_sweep_reversal,Liquidity Sweep Reversal,OK,4,1,3,25.0,-54.44,-0.54,0.8197121733881428,-13.61,1.99,-0.246,-0.23,200,
EURUSD,1d,vortex_trend_cross,Vortex Trend Cross,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200,
EURUSD,1d,hurst_trend_persistence,Hurst Trend Persistence,OK,12,4,8,33.33,92.47,0.92,1.1166593918497918,7.71,5.83,0.319,0.485,200,
EURUSD,1d,rsi_regular_divergence_v2,RSI Regular Divergence (Confirmed),OK,58,42,15,72.41,1762.94,17.63,3.411044446734599,30.4,3.16,4.696,7.075,200,
EURUSD,1d,hidden_macd_divergence_v2,Hidden MACD Divergence (Trend Continuation),OK,10,9,1,90.0,1520.17,15.2,40.93971864969826,152.02,1.09,6.385,10.572,200,
EURUSD,1d,obv_price_divergence,OBV/Price Divergence,OK,33,17,16,51.52,297.51,2.98,1.366836961797805,9.02,3.19,1.183,1.366,200,
EURUSD,1d,kst_trend_cross,KST Trend Cross,OK,11,3,8,27.27,-22.83,-0.23,0.9668769277482103,-2.08,3.36,-0.074,-0.085,200,
EURUSD,1d,coppock_curve_bottom,Coppock Curve Bottom,OK,6,3,3,50.0,691.92,6.92,3.2504630281845244,115.32,3.99,2.366,2.938,200,
EURUSD,1d,stc_cycle_turn,Schaff Trend Cycle Turn,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200,
EURUSD,1d,tsi_momentum_shift,TSI Momentum Shift,OK,13,8,5,61.54,1287.79,12.88,5.707162162811508,99.06,2.03,4.275,7.015,200,
EURUSD,1d,dpo_cycle_reversal,Detrended Price Oscillator Reversal,OK,28,5,23,17.86,-680.63,-6.81,0.38995893933470194,-24.31,9.45,-3.254,-3.91,200,
EURUSD,1d,rvi_signal_cross,Relative Vigor Index Cross,OK,10,8,2,80.0,1008.4,10.08,11.446820809325503,100.84,1.71,4.258,6.373,200,
EURUSD,1d,ultimate_oscillator_divergence,Ultimate Oscillator Reversal,OK,28,18,10,64.29,1235.38,12.35,3.062259069559989,44.12,2.71,4.157,6.439,200,
EURUSD,1d,aroon_new_trend,Aroon New Trend,OK,4,0,4,0.0,-394.04,-3.94,0.0,-98.51,4.61,-2.094,-1.735,200,
EURUSD,1d,ichimoku_kumo_breakout,Ichimoku Kumo Breakout,OK,5,3,2,60.0,256.96,2.57,2.2722561672255073,51.39,1.5,1.436,1.407,200,
EURUSD,1d,psar_flip_trend,Parabolic SAR Flip,OK,15,10,5,66.67,1812.17,18.12,7.621172578825211,120.81,1.96,5.557,8.329,200,
EURUSD,1d,keltner_channel_breakout,Keltner Channel Breakout,OK,5,4,1,80.0,542.19,5.42,6.129928205721556,108.44,1.0,3.013,3.391,200,
EURUSD,1d,donchian_channel_breakout,Donchian Channel Breakout,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200,
EURUSD,1d,vwap_reversion,VWAP Mean Reversion,OK,21,4,17,19.05,-481.75,-4.82,0.41907894494832504,-22.94,6.3,-2.631,-2.84,200,
EURUSD,1d,fisher_transform_extreme,Fisher Transform Extreme Reversal,OK,22,4,18,18.18,-991.02,-9.91,0.23216425457472428,-45.05,11.43,-4.026,-4.707,200,
EURUSD,1d,trix_zero_cross,TRIX Zero-Line Cross,OK,10,0,10,0.0,-880.02,-8.8,0.0,-88.0,8.89,-4.07,-3.711,200,
EURUSD,1d,stoch_rsi_double_confirm,Stochastic RSI Double Confirmation,OK,68,50,17,73.53,1583.92,15.84,3.548447686498855,23.29,1.76,4.527,8.263,200,
EURUSD,1d,balance_of_power_shift,Balance of Power Shift,OK,32,12,19,37.5,123.54,1.24,1.1292850545315025,3.86,3.22,0.55,0.906,200,
EURUSD,1d,roc_acceleration,Rate-of-Change Acceleration,OK,12,8,4,66.67,1081.5,10.82,4.4554920999192404,90.13,1.86,3.801,4.2,200,
EURUSD,1d,ulcer_index_calm_entry,Ulcer Index Low-Stress Entry,OK,13,3,10,23.08,-468.57,-4.69,0.5213858494418581,-36.04,6.17,-1.605,-1.674,200,
EURUSD,1d,entropy_regime_filter,Entropy Regime Filter,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200,
EURUSD,1d,kama_adaptive_trend,KAMA Adaptive Trend,OK,10,6,4,60.0,1016.48,10.16,4.453898942167271,101.65,2.07,3.809,6.147,200,
EURUSD,1d,hull_ma_momentum,Hull Moving Average Momentum,OK,11,9,2,81.82,1599.28,15.99,11.810849114610143,145.39,1.7,4.976,6.34,200,
