id,epoch,dir,entry,exit,pnl,hold,reason,votes,ns,agreement,confDir
1,1787578260,LONG,99.6561,99.5931,-0.0632,1,SL,210,0.55,0.775,HOLD
2,1787578560,LONG,99.8137,99.95891,0.1455,4,TP,202,0.583,0.791,HOLD
3,1787578860,LONG,99.9371,99.87074,-0.0664,1,SL,232,0.498,0.749,HOLD
4,1787580060,LONG,100.1246,100.06431,-0.0602,1,SL,196,0.466,0.733,HOLD
5,1787580360,SHORT,99.8498,99.8498,0,0,HORIZON,212,-0.511,0.755,HOLD
6,1787580660,SHORT,99.7408,99.79482,-0.0542,2,SL,211,-0.462,0.731,HOLD
7,1787580960,LONG,99.9651,99.91114,-0.054,2,SL,220,0.332,0.666,HOLD
8,1787581860,LONG,99.7649,99.71143,-0.0536,1,SL,200,0.476,0.738,HOLD
9,1787582160,LONG,99.9361,99.88472,-0.0514,3,SL,207,0.582,0.791,HOLD
10,1787583060,LONG,99.8431,99.78082,-0.0624,1,SL,191,0.513,0.756,HOLD
11,1787583360,LONG,99.9132,99.85118,-0.0621,2,SL,189,0.707,0.853,HOLD
12,1787583660,SHORT,99.7769,99.83391,-0.0571,2,SL,216,-0.546,0.773,HOLD
13,1787583960,SHORT,99.7062,99.76134,-0.0553,1,SL,193,-0.432,0.716,HOLD
14,1787584860,SHORT,99.3802,99.4466,-0.0668,2,SL,197,-0.31,0.655,SELL
15,1787585760,LONG,99.265,99.20888,-0.0565,3,SL,222,0.377,0.688,BUY
16,1787586060,LONG,99.4554,99.59096,0.1363,3,TP,222,0.579,0.789,BUY
17,1787586360,LONG,99.6972,99.64084,-0.0565,1,SL,221,0.625,0.812,BUY
18,1787586660,LONG,99.6134,99.55109,-0.0626,2,SL,217,0.618,0.809,BUY
19,1787586960,LONG,99.5153,99.63753,0.1228,2,TP,215,0.4,0.7,BUY
20,1787587260,LONG,99.9479,99.8816,-0.0663,2,SL,199,0.476,0.738,HOLD
21,1787587860,SHORT,99.6052,99.66886,-0.0639,1,SL,208,-0.444,0.722,SELL
22,1787588460,LONG,99.7557,99.69158,-0.0643,2,SL,199,0.617,0.808,BUY
23,1787588760,LONG,99.876,100.00672,0.1309,1,TP,197,0.462,0.731,BUY
24,1787589060,LONG,99.9786,99.91806,-0.0606,1,SL,200,0.369,0.685,HOLD
25,1787590860,LONG,100.0356,99.97755,-0.058,1,SL,201,0.323,0.662,HOLD
26,1787591160,LONG,100.1048,100.24209,0.1371,5,TP,193,0.333,0.667,HOLD
27,1787591460,LONG,100.3303,100.3303,0,0,HORIZON,202,0.428,0.714,HOLD
28,1787592060,SHORT,99.9058,99.9701,-0.0644,2,SL,204,-0.548,0.774,SELL
29,1787592360,SHORT,99.9494,99.82,0.1295,1,TP,205,-0.323,0.661,SELL
30,1787593860,LONG,99.8734,99.99971,0.1265,3,TP,189,0.307,0.653,BUY
31,1787594760,SHORT,99.8214,99.88061,-0.0593,3,SL,218,-0.435,0.718,SELL
32,1787596260,LONG,99.7768,99.71479,-0.0621,4,SL,222,0.63,0.815,BUY
33,1787596560,LONG,99.7576,99.70064,-0.0571,1,SL,221,0.33,0.665,BUY
34,1787596860,SHORT,99.7203,99.77456,-0.0544,3,SL,197,-0.418,0.709,SELL
35,1787597160,SHORT,99.6514,99.70156,-0.0503,2,SL,220,-0.589,0.795,SELL
36,1787598360,LONG,99.5486,99.67839,0.1304,3,TP,214,0.513,0.757,BUY
37,1787598660,LONG,99.5786,99.52069,-0.0582,1,SL,208,0.661,0.831,BUY
