id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787583660,LONG,628.22,628.70465,0.0771,1,TP,50.54,8,0.72,mid,2,0.4,0.116
2,1787586960,LONG,631.95,630.32455,-0.2572,3,SL,47.93,2,0.588,low,1.5,0.44000000000000006,0.234
3,1787588460,LONG,639.5,637.01248,-0.389,4,SL,59.47,2,0.462,mid,2,0.4,0.509
4,1787592360,LONG,636.63,637.07714,0.0702,4,TP,55.11,3,0.508,mid,2,0.4,0.227
5,1787611260,LONG,618.95,619.41097,0.0745,4,TP,50.54,2,0.475,high,2.3,0.36000000000000004,0.409
6,1787612460,LONG,618.04,618.48256,0.0716,1,TP,53.24,2,0.407,mid,2,0.4,0.439
7,1787625660,SHORT,634.11,633.63644,0.0747,3,TP,44.73,2,0.6,low,1.5,0.44000000000000006,-0.332
8,1787627760,LONG,629.32,629.80314,0.0768,1,TP,48.28,4,0.544,mid,2,0.4,0.115
9,1787632860,LONG,629.19,627.44167,-0.2779,3,SL,58.82,3,0.456,low,1.5,0.44000000000000006,0.184
10,1787633760,LONG,626.35,624.70123,-0.2632,2,SL,44.89,3,0.474,low,1.5,0.44000000000000006,0.135
11,1787641860,SHORT,630.2,630.2,0,0,HORIZON,61.76,2,0.43,low,1.5,0.44000000000000006,-0.363
12,1787645460,SHORT,632.85,632.394,0.0721,1,TP,51.42,3,0.446,high,2.3,0.36000000000000004,-0.189
13,1787668560,SHORT,611.13,611.13,0,0,HORIZON,44.25,4,0.485,mid,2,0.4,-0.128
14,1787668860,LONG,612.44,612.88831,0.0732,1,TP,56.32,2,0.437,low,1.5,0.44000000000000006,0.188
15,1787670360,SHORT,608.61,608.15181,0.0753,1,TP,44.51,3,0.426,high,2.3,0.36000000000000004,-0.253
16,1787681760,LONG,614.14,614.60819,0.0762,5,TP,49.54,2,0.522,mid,2,0.4,0.329
17,1787683860,LONG,617.86,618.35075,0.0794,4,TP,54.1,3,0.457,low,1.5,0.44000000000000006,0.247
18,1787691060,LONG,612.78,613.26392,0.079,1,TP,52.32,1,0.417,low,1.5,0.44000000000000006,0.488
19,1787692560,LONG,619.43,619.86139,0.0696,1,TP,63.53,3,0.411,high,2.3,0.36000000000000004,0.266
20,1787695560,LONG,621.63,620.05115,-0.254,1,SL,53.16,5,0.746,low,1.5,0.44000000000000006,0.324
21,1787696760,LONG,618.49,618.95935,0.0759,1,TP,67.74,4,0.618,mid,2,0.4,0.186
22,1787700060,SHORT,619.61,619.25567,0.0572,1,TP,40.37,7,0.672,extreme,2.7,0.27999999999999997,-0.118
23,1787704560,LONG,621.88,622.34596,0.0749,1,TP,61.28,3,0.536,high,2.3,0.36000000000000004,0.212
24,1787707560,LONG,621.29,621.29,0,0,HORIZON,55.4,2,0.413,low,1.5,0.44000000000000006,0.458
25,1787711760,LONG,625.24,625.70498,0.0744,1,TP,58.39,4,0.686,high,2.3,0.36000000000000004,0.592
26,1787713260,LONG,632.03,632.49446,0.0735,3,TP,60.29,2,0.483,mid,2,0.4,0.248
27,1787724360,LONG,618.41,618.86224,0.0731,4,TP,41.67,6,0.689,high,2.3,0.36000000000000004,0.141
28,1787733060,LONG,634.81,634.81,0,0,HORIZON,52.15,2,0.418,high,2.3,0.36000000000000004,0.427
29,1787743260,LONG,654.45,654.93159,0.0736,1,TP,52.02,3,0.434,mid,2,0.4,0.131
30,1787747760,LONG,647.5,647.98126,0.0743,1,TP,50.84,4,0.62,mid,2,0.4,0.116
31,1787749260,SHORT,650.29,649.81241,0.0734,2,TP,45.13,3,0.49,mid,2,0.4,-0.284
32,1787750160,LONG,652.03,652.48384,0.0696,2,TP,44.55,4,0.609,low,1.5,0.44000000000000006,0.375
33,1787755260,SHORT,644.17,643.67128,0.0774,1,TP,42.34,2,0.492,mid,2,0.4,-0.102
34,1787755860,LONG,641.78,639.41787,-0.3681,4,SL,47.98,4,0.551,mid,2,0.4,0.105
35,1787772060,LONG,636.24,634.64188,-0.2512,1,SL,54.33,1,0.483,low,1.5,0.44000000000000006,0.611
36,1787772360,LONG,633.5,633.94069,0.0696,1,TP,52.77,6,0.736,high,2.3,0.36000000000000004,0.172
37,1787776260,SHORT,638.83,638.35314,0.0746,1,TP,57.2,3,0.446,mid,2,0.4,-0.103
38,1787777160,SHORT,639.13,641.63504,-0.3919,2,SL,47.87,6,0.731,mid,2,0.4,-0.132
39,1787782860,LONG,623.94,624.43075,0.0787,2,TP,48.15,4,0.583,low,1.5,0.44000000000000006,0.132
40,1787784660,LONG,622.1,620.35083,-0.2812,1,SL,38.22,4,0.486,low,1.5,0.44000000000000006,0.117
41,1787785560,LONG,617.14,617.64192,0.0813,1,TP,51.47,11,0.854,low,1.5,0.44000000000000006,0.109
42,1787793960,LONG,632.29,632.75923,0.0742,2,TP,49.59,3,0.461,high,2.3,0.36000000000000004,0.143
43,1787799360,LONG,620.96,621.43532,0.0765,1,TP,54.44,3,0.468,mid,2,0.4,0.18
44,1787802960,LONG,630.2,630.6834,0.0767,1,TP,60.92,3,0.438,mid,2,0.4,0.133
45,1787803260,LONG,632.03,629.68843,-0.3705,2,SL,60.13,1,0.449,mid,2,0.4,0.531
46,1787808360,LONG,607.35,607.35,0,0,HORIZON,59.6,3,0.425,high,2.3,0.36000000000000004,0.13
47,1787813160,LONG,618.17,618.55739,0.0627,1,TP,59.78,4,0.575,low,1.5,0.44000000000000006,0.341
48,1787813460,LONG,619.87,620.31271,0.0714,1,TP,60.44,2,0.415,mid,2,0.4,0.186
