id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787583660,LONG,628.22,628.70465,0.0771,1,TP,50.54,8,0.72,mid,2,0.4,0.116
2,1787586960,LONG,631.95,630.32455,-0.2572,3,SL,47.93,2,0.588,low,1.5,0.44000000000000006,0.234
3,1787625660,SHORT,634.11,633.63644,0.0747,3,TP,44.73,2,0.6,low,1.5,0.44000000000000006,-0.332
4,1787695560,LONG,621.63,620.05115,-0.254,1,SL,53.16,5,0.746,low,1.5,0.44000000000000006,0.324
5,1787696760,LONG,618.49,618.95935,0.0759,1,TP,67.74,4,0.618,mid,2,0.4,0.186
6,1787700060,SHORT,619.61,619.25567,0.0572,1,TP,40.37,7,0.672,extreme,2.7,0.27999999999999997,-0.118
7,1787711760,LONG,625.24,625.70498,0.0744,1,TP,58.39,4,0.686,high,2.3,0.36000000000000004,0.592
8,1787724360,LONG,618.41,618.86224,0.0731,4,TP,41.67,6,0.689,high,2.3,0.36000000000000004,0.141
9,1787747760,LONG,647.5,647.98126,0.0743,1,TP,50.84,4,0.62,mid,2,0.4,0.116
10,1787750160,LONG,652.03,652.48384,0.0696,2,TP,44.55,4,0.609,low,1.5,0.44000000000000006,0.375
11,1787755860,LONG,641.78,639.41787,-0.3681,4,SL,47.98,4,0.551,mid,2,0.4,0.105
12,1787772360,LONG,633.5,633.94069,0.0696,1,TP,52.77,6,0.736,high,2.3,0.36000000000000004,0.172
13,1787777160,SHORT,639.13,641.63504,-0.3919,2,SL,47.87,6,0.731,mid,2,0.4,-0.132
14,1787782860,LONG,623.94,624.43075,0.0787,2,TP,48.15,4,0.583,low,1.5,0.44000000000000006,0.132
15,1787785560,LONG,617.14,617.64192,0.0813,1,TP,51.47,11,0.854,low,1.5,0.44000000000000006,0.109
16,1787813160,LONG,618.17,618.55739,0.0627,1,TP,59.78,4,0.575,low,1.5,0.44000000000000006,0.341
17,1787834460,LONG,605.34,605.74324,0.0666,1,TP,34.2,3,0.564,low,1.5,0.44000000000000006,0.138
18,1787834760,LONG,605.51,604.08534,-0.2353,2,SL,55.66,3,0.651,low,1.5,0.44000000000000006,0.318
19,1787859660,LONG,618.71,617.18313,-0.2468,2,SL,46.12,6,0.742,low,1.5,0.44000000000000006,0.147
