id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787581860,LONG,4768.062,4768.39525,0.007,1,TP,58.44,4,0.597,low,1.5,0.44000000000000006,0.383
2,1787591160,LONG,4768.594,4768.95167,0.0075,1,TP,56.56,5,0.711,mid,2,0.4,0.116
3,1787591760,SHORT,4770.716,4770.35733,0.0075,1,TP,46.74,6,0.663,low,1.5,0.44000000000000006,-0.225
4,1787598960,LONG,4771.439,4771.78805,0.0073,2,TP,60.11,3,0.561,low,1.5,0.44000000000000006,0.48
5,1787599560,LONG,4769.511,4767.3523,-0.0453,5,SL,46.27,7,0.63,high,2.3,0.36000000000000004,0.125
6,1787600760,LONG,4764.09,4764.41907,0.0069,1,TP,41.45,3,0.414,high,2.3,0.36000000000000004,0.149
7,1787604360,SHORT,4769.997,4769.64115,0.0075,1,TP,65.36,3,0.414,high,2.3,0.36000000000000004,-0.188
8,1787605860,LONG,4768.786,4769.13655,0.0074,2,TP,45.73,4,0.656,high,2.3,0.36000000000000004,0.177
9,1787609460,LONG,4771.26,4771.60346,0.0072,2,TP,39.52,1,0.444,mid,2,0.4,0.341
10,1787613960,LONG,4772.747,4773.05986,0.0066,1,TP,45.27,4,0.639,high,2.3,0.36000000000000004,0.24
11,1787617560,LONG,4753.865,4754.22609,0.0076,1,TP,34.53,9,0.803,mid,2,0.4,0.16
12,1787618460,SHORT,4753.554,4753.20194,0.0074,1,TP,64.01,2,0.464,mid,2,0.4,-0.416
13,1787619360,SHORT,4750.25,4749.88086,0.0078,3,TP,47.46,2,0.484,mid,2,0.4,-0.102
14,1787619660,SHORT,4750.15,4751.41152,-0.0266,4,SL,61.08,2,0.402,low,1.5,0.44000000000000006,-0.301
15,1787627760,LONG,4749.005,4749.34111,0.0071,1,TP,52.58,5,0.759,low,1.5,0.44000000000000006,0.168
16,1787628060,LONG,4748.799,4747.1264,-0.0352,3,SL,56.95,6,0.72,mid,2,0.4,0.104
17,1787628360,LONG,4748.26,4748.59498,0.0071,1,TP,44.89,6,0.599,high,2.3,0.36000000000000004,0.13
18,1787629860,LONG,4751.04,4751.4167,0.0079,1,TP,62.1,4,0.593,mid,2,0.4,0.684
19,1787630160,LONG,4749.86,4750.23502,0.0079,2,TP,53.05,3,0.485,mid,2,0.4,0.121
20,1787633160,SHORT,4755.131,4754.76173,0.0078,1,TP,54.07,7,0.728,mid,2,0.4,-0.101
21,1787634360,LONG,4758.283,4758.63967,0.0075,1,TP,50.99,2,0.421,high,2.3,0.36000000000000004,0.338
22,1787642760,LONG,4756.807,4757.16969,0.0076,1,TP,53.03,4,0.486,high,2.3,0.36000000000000004,0.104
23,1787654460,LONG,4770.266,4770.61988,0.0074,1,TP,48.95,2,0.487,high,2.3,0.36000000000000004,0.531
24,1787654760,LONG,4768.799,4769.15313,0.0074,2,TP,51.39,4,0.565,high,2.3,0.36000000000000004,0.172
25,1787656260,LONG,4764.773,4765.11865,0.0073,1,TP,45.85,4,0.518,mid,2,0.4,0.109
26,1787662560,SHORT,4761.742,4761.40944,0.007,1,TP,57.33,3,0.437,mid,2,0.4,-0.103
27,1787674260,SHORT,4764.993,4766.22858,-0.0259,4,SL,44,2,0.428,low,1.5,0.44000000000000006,-0.406
28,1787676060,LONG,4770.629,4770.97742,0.0073,1,TP,54.41,3,0.479,mid,2,0.4,0.183
29,1787676360,LONG,4771.804,4772.13379,0.0069,2,TP,61.04,1,0.492,low,1.5,0.44000000000000006,0.501
30,1787678160,LONG,4767.514,4767.82515,0.0065,1,TP,60.32,4,0.465,high,2.3,0.36000000000000004,0.217
31,1787681460,LONG,4762.311,4759.82927,-0.0521,5,SL,46.37,8,0.709,extreme,2.7,0.27999999999999997,0.14
32,1787682060,LONG,4760.876,4761.1901,0.0066,2,TP,42.9,3,0.427,high,2.3,0.36000000000000004,0.16
33,1787683260,LONG,4758.372,4758.64323,0.0057,1,TP,34.21,4,0.433,extreme,2.7,0.27999999999999997,0.178
34,1787689260,LONG,4754.721,4755.05242,0.007,2,TP,61.91,3,0.461,low,1.5,0.44000000000000006,0.187
35,1787693460,LONG,4758.999,4758.999,0,0,HORIZON,57.08,2,0.463,mid,2,0.4,0.412
36,1787705760,LONG,4760.934,4761.28017,0.0073,1,TP,37.14,5,0.59,low,1.5,0.44000000000000006,0.127
37,1787709060,SHORT,4764.815,4764.45335,0.0076,1,TP,54.91,4,0.479,high,2.3,0.36000000000000004,-0.16
38,1787711760,LONG,4765.578,4765.578,0,0,HORIZON,39.61,3,0.464,mid,2,0.4,0.27
39,1787717460,LONG,4758.859,4759.20413,0.0073,1,TP,42.3,3,0.445,mid,2,0.4,0.183
40,1787720460,LONG,4761.388,4761.71698,0.0069,1,TP,43.44,9,0.739,high,2.3,0.36000000000000004,0.137
41,1787722260,LONG,4765.633,4765.91881,0.006,1,TP,49.76,3,0.463,extreme,2.7,0.27999999999999997,0.224
42,1787734560,SHORT,4765.094,4764.73672,0.0075,1,TP,46.74,2,0.436,low,1.5,0.44000000000000006,-0.132
43,1787739960,LONG,4768.113,4768.45548,0.0072,1,TP,44.16,4,0.541,high,2.3,0.36000000000000004,0.24
44,1787745060,LONG,4766.45,4766.73349,0.0059,1,TP,45.3,1,0.45,extreme,2.7,0.27999999999999997,0.681
45,1787748960,LONG,4768.062,4768.43072,0.0077,1,TP,55.05,3,0.456,mid,2,0.4,0.217
46,1787752560,LONG,4770.392,4770.7216,0.0069,1,TP,49.64,10,0.869,low,1.5,0.44000000000000006,0.122
47,1787753760,LONG,4769.569,4769.91931,0.0073,1,TP,51.04,3,0.5,mid,2,0.4,0.181
48,1787756760,LONG,4766.793,4765.53804,-0.0263,3,SL,53.12,3,0.464,low,1.5,0.44000000000000006,0.25
49,1787757060,LONG,4764.935,4765.29014,0.0075,1,TP,51.65,10,0.756,mid,2,0.4,0.132
50,1787758260,SHORT,4764.474,4764.11326,0.0076,4,TP,47.08,1,0.483,low,1.5,0.44000000000000006,-0.545
51,1787767560,LONG,4755.172,4755.49152,0.0067,1,TP,59.71,3,0.471,low,1.5,0.44000000000000006,0.183
52,1787770560,LONG,4748.293,4748.6461,0.0074,1,TP,49.97,4,0.572,high,2.3,0.36000000000000004,0.203
53,1787770860,LONG,4747.747,4748.09555,0.0073,1,TP,49.54,8,0.767,high,2.3,0.36000000000000004,0.258
54,1787775060,LONG,4753.365,4753.72019,0.0075,1,TP,59.59,3,0.51,mid,2,0.4,0.5
