id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787579820,LONG,119410.95,119436.68937,0.0216,1,TP,40.73,2,0.422,low,1.5,0.44000000000000006,0.47
2,1787583420,SHORT,119073.45,119049.31354,0.0203,1,TP,52.59,1,0.344,mid,2,0.4,-0.414
3,1787585820,LONG,119228.03,119248.06137,0.0168,1,TP,54.34,1,0.339,extreme,2.7,0.27999999999999997,0.583
4,1787589120,LONG,119697.34,119719.58782,0.0186,1,TP,56.4,1,0.365,extreme,2.7,0.27999999999999997,0.376
5,1787591820,SHORT,119448.4,119421.91856,0.0222,2,TP,41.32,3,0.451,high,2.3,0.36000000000000004,-0.216
6,1787593920,LONG,119794.07,119820.6752,0.0222,2,TP,38.15,2,0.377,low,1.5,0.44000000000000006,0.132
7,1787594520,LONG,119797.11,119821.96121,0.0207,1,TP,46.41,1,0.316,low,1.5,0.44000000000000006,0.47
8,1787594820,LONG,119824.12,119848.52757,0.0204,1,TP,59.62,1,0.394,mid,2,0.4,0.445
9,1787595720,SHORT,119892.56,119892.56,0,0,HORIZON,56.27,1,0.368,mid,2,0.4,-0.395
10,1787596020,LONG,119975.46,119850.32761,-0.1043,3,SL,60.67,2,0.361,mid,2,0.4,0.338
11,1787608920,LONG,119302.49,119325.02735,0.0189,1,TP,56.95,2,0.373,low,1.5,0.44000000000000006,0.155
12,1787612520,LONG,118693.35,118721.26596,0.0235,1,TP,44.06,2,0.312,high,2.3,0.36000000000000004,0.167
13,1787615220,LONG,118902.66,118928.5534,0.0218,1,TP,56.16,1,0.451,mid,2,0.4,0.463
14,1787616120,LONG,119042.37,119069.71792,0.023,1,TP,38.71,2,0.312,mid,2,0.4,0.176
15,1787616420,LONG,119080.78,118989.88176,-0.0763,2,SL,44.55,2,0.371,low,1.5,0.44000000000000006,0.29
16,1787620020,SHORT,118740.2,118716.15317,0.0203,1,TP,43.09,2,0.518,high,2.3,0.36000000000000004,-0.34
17,1787624820,LONG,119115.2,119139.26541,0.0202,2,TP,60.29,2,0.399,mid,2,0.4,0.521
18,1787625120,LONG,119065.91,119065.91,0,0,HORIZON,55.11,3,0.594,extreme,2.7,0.27999999999999997,0.249
19,1787629020,SHORT,118852.18,118829.39899,0.0192,1,TP,50.44,1,0.394,extreme,2.7,0.27999999999999997,-0.534
20,1787637120,LONG,119339.6,119362.3083,0.019,2,TP,68.13,2,0.311,high,2.3,0.36000000000000004,0.135
21,1787640420,SHORT,118969.35,118951.74368,0.0148,1,TP,48.61,1,0.361,extreme,2.7,0.27999999999999997,-0.337
22,1787640720,LONG,119060.98,119079.20665,0.0153,1,TP,56.69,1,0.343,extreme,2.7,0.27999999999999997,0.32
23,1787644320,LONG,119048.15,119073.39992,0.0212,1,TP,50.52,2,0.477,mid,2,0.4,0.292
24,1787645220,LONG,118894.74,118920.00534,0.0213,3,TP,42.66,5,0.749,low,1.5,0.44000000000000006,0.27
25,1787646120,LONG,118879.62,118879.62,0,0,HORIZON,52.08,1,0.322,extreme,2.7,0.27999999999999997,0.642
26,1787646420,LONG,118711.65,118736.14541,0.0206,1,TP,56.6,8,0.83,high,2.3,0.36000000000000004,0.173
27,1787647320,LONG,118517.24,118544.46977,0.023,1,TP,35.72,4,0.502,low,1.5,0.44000000000000006,0.235
28,1787654520,LONG,117262.63,117285.83305,0.0198,1,TP,48.05,2,0.401,low,1.5,0.44000000000000006,0.188
29,1787656020,SHORT,117252.56,117334.78334,-0.0701,2,SL,57.53,1,0.351,low,1.5,0.44000000000000006,-0.62
30,1787663520,LONG,116493.17,116520.40492,0.0234,2,TP,47.85,3,0.443,mid,2,0.4,0.142
31,1787663820,SHORT,116514.59,116640.82045,-0.1083,1,SL,46.37,2,0.37,mid,2,0.4,-0.277
32,1787664720,LONG,117041.46,117067.25978,0.022,1,TP,37.03,2,0.409,mid,2,0.4,0.26
33,1787670720,SHORT,115660.84,115637.70852,0.02,3,TP,43.65,1,0.408,mid,2,0.4,-0.364
34,1787673420,LONG,115401.12,115424.84813,0.0206,4,TP,39.3,3,0.391,high,2.3,0.36000000000000004,0.145
35,1787675520,LONG,115056.67,115056.67,0,0,HORIZON,56.83,3,0.439,extreme,2.7,0.27999999999999997,0.332
36,1787675820,LONG,115013.82,115037.17299,0.0203,1,TP,56.79,3,0.412,high,2.3,0.36000000000000004,0.124
37,1787676420,SHORT,115079.17,115157.44039,-0.068,3,SL,53.62,2,0.399,low,1.5,0.44000000000000006,-0.104
38,1787677320,LONG,115297.21,115297.21,0,0,HORIZON,39.11,2,0.393,high,2.3,0.36000000000000004,0.25
39,1787677620,SHORT,115290.03,115441.6758,-0.1315,4,SL,52.64,2,0.361,high,2.3,0.36000000000000004,-0.122
40,1787683320,LONG,115143,115165.93142,0.0199,1,TP,33.32,2,0.363,low,1.5,0.44000000000000006,0.195
41,1787683620,SHORT,115103.82,115082.28857,0.0187,2,TP,58.87,2,0.362,high,2.3,0.36000000000000004,-0.112
42,1787686020,LONG,115411.77,115435.41419,0.0205,1,TP,50.84,1,0.303,high,2.3,0.36000000000000004,0.211
43,1787690520,SHORT,114615.98,114591.99926,0.0209,1,TP,41.15,3,0.469,mid,2,0.4,-0.179
44,1787691120,LONG,114579.88,114603.84298,0.0209,1,TP,64.45,3,0.43,mid,2,0.4,0.278
45,1787697420,LONG,114696.6,114719.2799,0.0198,1,TP,44.85,1,0.372,low,1.5,0.44000000000000006,0.345
46,1787711220,LONG,114949.43,114807.30414,-0.1236,3,SL,54.86,2,0.408,high,2.3,0.36000000000000004,0.384
47,1787713020,LONG,114863.89,114889.03192,0.0219,1,TP,60.3,1,0.335,low,1.5,0.44000000000000006,0.44
48,1787714220,LONG,114977.44,114977.44,0,0,HORIZON,50.26,1,0.49,mid,2,0.4,0.49
49,1787715720,SHORT,114752.36,114732.46557,0.0173,1,TP,57.54,2,0.366,extreme,2.7,0.27999999999999997,-0.111
50,1787721420,SHORT,114401.72,114378.20698,0.0206,1,TP,67.11,1,0.324,mid,2,0.4,-0.32
51,1787723220,LONG,113857.22,113773.9202,-0.0732,1,SL,37.1,6,0.717,low,1.5,0.44000000000000006,0.154
52,1787724120,LONG,113723.73,113563.69641,-0.1407,4,SL,60.12,2,0.317,high,2.3,0.36000000000000004,0.261
53,1787724420,SHORT,113712.09,113686.0752,0.0229,1,TP,53.18,2,0.339,high,2.3,0.36000000000000004,-0.188
54,1787730420,LONG,113660.83,113684.53126,0.0209,5,TP,48.38,1,0.344,low,1.5,0.44000000000000006,0.571
55,1787731620,LONG,113786.41,113811.09579,0.0217,1,TP,58.41,4,0.56,low,1.5,0.44000000000000006,0.213
56,1787736120,LONG,113711.04,113733.93755,0.0201,2,TP,51.28,1,0.327,mid,2,0.4,0.504
57,1787740020,SHORT,113592.39,113570.74739,0.0191,1,TP,46.28,1,0.362,mid,2,0.4,-0.488
58,1787741820,LONG,113607.78,113628.68437,0.0184,2,TP,49.16,4,0.612,extreme,2.7,0.27999999999999997,0.287
59,1787746020,LONG,113849.75,113871.78885,0.0194,1,TP,62.11,2,0.418,high,2.3,0.36000000000000004,0.751
60,1787746920,LONG,113822.42,113755.04901,-0.0592,2,SL,53.04,6,0.754,low,1.5,0.44000000000000006,0.161
61,1787749920,LONG,114090.7,114114.06494,0.0205,1,TP,36.83,2,0.323,mid,2,0.4,0.179
62,1787752320,SHORT,113818.4,113795.03707,0.0205,2,TP,66.79,1,0.377,mid,2,0.4,-0.138
63,1787753520,LONG,113669,113692.21052,0.0204,1,TP,56.33,1,0.348,low,1.5,0.44000000000000006,0.459
64,1787756520,LONG,113478.29,113499.97382,0.0191,1,TP,54.04,3,0.422,high,2.3,0.36000000000000004,0.113
65,1787758320,SHORT,113850.64,113829.12318,0.0189,1,TP,31.95,3,0.355,high,2.3,0.36000000000000004,-0.113
66,1787760720,LONG,114244.9,114267.65453,0.0199,1,TP,51.45,2,0.495,low,1.5,0.44000000000000006,0.55
67,1787761020,LONG,114349.07,114373.58041,0.0214,1,TP,48.13,1,0.425,low,1.5,0.44000000000000006,0.545
68,1787761920,LONG,114294.42,114317.63926,0.0203,1,TP,53.35,2,0.382,high,2.3,0.36000000000000004,0.515
69,1787762820,LONG,114425.04,114446.32046,0.0186,1,TP,49.17,1,0.338,extreme,2.7,0.27999999999999997,0.265
70,1787769720,LONG,114453.99,114453.99,0,0,HORIZON,68.32,2,0.361,low,1.5,0.44000000000000006,0.261
71,1787770020,LONG,114404.23,114323.33489,-0.0707,2,SL,60.4,6,0.757,low,1.5,0.44000000000000006,0.202
72,1787772720,LONG,114586.69,114609.9845,0.0203,1,TP,50.6,2,0.402,low,1.5,0.44000000000000006,0.145
73,1787774820,LONG,114411.87,114435.05484,0.0203,1,TP,46.6,4,0.501,high,2.3,0.36000000000000004,0.106
74,1787776620,LONG,115002.02,115024.94472,0.0199,1,TP,45.78,2,0.516,low,1.5,0.44000000000000006,0.151
75,1787777520,LONG,115131.31,115053.04351,-0.068,1,SL,48.03,4,0.577,low,1.5,0.44000000000000006,0.121
76,1787778720,SHORT,114698.61,114675.11905,0.0205,1,TP,45.11,3,0.517,mid,2,0.4,-0.2
77,1787780220,LONG,115017.29,115041.78777,0.0213,1,TP,56.6,3,0.517,mid,2,0.4,0.433
78,1787782320,SHORT,114900.29,114974.83828,-0.0649,3,SL,54.67,1,0.302,low,1.5,0.44000000000000006,-0.357
79,1787782920,SHORT,114879.61,114856.91936,0.0198,1,TP,52.43,1,0.317,mid,2,0.4,-0.266
80,1787785320,LONG,115043.77,115066.65096,0.0199,1,TP,48.94,4,0.599,mid,2,0.4,0.201
81,1787787720,SHORT,115773.14,115749.9695,0.02,3,TP,55.66,1,0.399,mid,2,0.4,-0.281
82,1787790120,SHORT,116090.31,116065.09977,0.0217,2,TP,47.33,1,0.316,low,1.5,0.44000000000000006,-0.267
83,1787799420,LONG,116630.4,116652.97929,0.0194,1,TP,55.13,1,0.31,mid,2,0.4,0.377
84,1787805720,LONG,116797.71,116680.10981,-0.1007,4,SL,48.64,3,0.5,mid,2,0.4,0.304
85,1787806320,LONG,116704.41,116727.10544,0.0194,3,TP,50.58,2,0.413,low,1.5,0.44000000000000006,0.104
86,1787810520,LONG,117146.94,117172.66229,0.022,2,TP,53.88,2,0.54,extreme,2.7,0.27999999999999997,0.469
87,1787812320,LONG,117458.06,117482.56169,0.0209,1,TP,65.98,2,0.34,mid,2,0.4,0.361
88,1787818920,LONG,118059.65,118082.64759,0.0195,4,TP,54.17,2,0.426,low,1.5,0.44000000000000006,0.218
89,1787819220,LONG,118130.19,118154.7976,0.0208,1,TP,56.4,1,0.471,low,1.5,0.44000000000000006,0.462
90,1787830020,LONG,119847.17,119871.59451,0.0204,1,TP,53.3,1,0.327,low,1.5,0.44000000000000006,0.263
91,1787830620,SHORT,119797.5,119773.357,0.0202,2,TP,55.2,2,0.338,mid,2,0.4,-0.147
92,1787834820,LONG,119942.98,119967.55143,0.0205,1,TP,50.28,1,0.32,low,1.5,0.44000000000000006,0.255
93,1787837220,LONG,120087.44,120110.8035,0.0195,1,TP,65.42,2,0.32,mid,2,0.4,0.168
94,1787843220,LONG,120428.44,120453.23221,0.0206,1,TP,56.11,1,0.341,low,1.5,0.44000000000000006,0.643
95,1787845920,LONG,119675.48,119701.75826,0.022,1,TP,38.15,3,0.414,mid,2,0.4,0.203
96,1787848020,LONG,120297.25,120322.31901,0.0208,1,TP,56.57,1,0.409,mid,2,0.4,0.206
97,1787848320,LONG,120362.41,120388.44376,0.0216,3,TP,63.83,1,0.325,mid,2,0.4,0.209
98,1787850120,SHORT,120550.66,120525.37982,0.021,1,TP,41.25,4,0.547,low,1.5,0.44000000000000006,-0.147
99,1787850720,LONG,120526.76,120550.82416,0.02,1,TP,50.98,2,0.394,mid,2,0.4,0.279
100,1787852520,LONG,120760.83,120785.85863,0.0207,1,TP,63.58,2,0.346,low,1.5,0.44000000000000006,0.223
101,1787853720,LONG,120814.18,120834.53914,0.0169,2,TP,48.73,1,0.35,extreme,2.7,0.27999999999999997,0.207
102,1787855520,LONG,120586.03,120608.55986,0.0187,1,TP,53.34,2,0.333,high,2.3,0.36000000000000004,0.135
