id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787581860,LONG,4768.062,4768.39525,0.007,1,TP,58.44,4,0.597,low,1.5,0.44000000000000006,0.383
2,1787591160,LONG,4768.594,4768.95167,0.0075,1,TP,56.56,5,0.711,mid,2,0.4,0.116
3,1787591760,SHORT,4770.716,4770.35733,0.0075,1,TP,46.74,6,0.663,low,1.5,0.44000000000000006,-0.225
4,1787598960,LONG,4771.439,4771.78805,0.0073,2,TP,60.11,3,0.561,low,1.5,0.44000000000000006,0.48
5,1787599260,LONG,4770.408,4768.73582,-0.0351,4,SL,55.5,2,0.384,mid,2,0.4,0.219
6,1787599560,LONG,4769.511,4767.3523,-0.0453,5,SL,46.27,7,0.63,high,2.3,0.36000000000000004,0.125
7,1787600760,LONG,4764.09,4764.41907,0.0069,1,TP,41.45,3,0.414,high,2.3,0.36000000000000004,0.149
8,1787603460,SHORT,4769.189,4768.90476,0.006,1,TP,53.33,3,0.38,extreme,2.7,0.27999999999999997,-0.122
9,1787604360,SHORT,4769.997,4769.64115,0.0075,1,TP,65.36,3,0.414,high,2.3,0.36000000000000004,-0.188
10,1787605860,LONG,4768.786,4769.13655,0.0074,2,TP,45.73,4,0.656,high,2.3,0.36000000000000004,0.177
11,1787609460,LONG,4771.26,4771.60346,0.0072,2,TP,39.52,1,0.444,mid,2,0.4,0.341
12,1787609760,LONG,4770.992,4771.35724,0.0077,1,TP,59.6,1,0.302,low,1.5,0.44000000000000006,0.183
13,1787610360,SHORT,4772.134,4773.85534,-0.0361,2,SL,67.73,3,0.386,mid,2,0.4,-0.115
14,1787611560,LONG,4771.648,4771.648,0,0,HORIZON,47,2,0.361,high,2.3,0.36000000000000004,0.237
15,1787613960,LONG,4772.747,4773.05986,0.0066,1,TP,45.27,4,0.639,high,2.3,0.36000000000000004,0.24
16,1787617560,LONG,4753.865,4754.22609,0.0076,1,TP,34.53,9,0.803,mid,2,0.4,0.16
17,1787617860,LONG,4754.39,4754.75787,0.0077,5,TP,62.94,2,0.396,mid,2,0.4,0.294
18,1787618460,SHORT,4753.554,4753.20194,0.0074,1,TP,64.01,2,0.464,mid,2,0.4,-0.416
19,1787619360,SHORT,4750.25,4749.88086,0.0078,3,TP,47.46,2,0.484,mid,2,0.4,-0.102
20,1787619660,SHORT,4750.15,4751.41152,-0.0266,4,SL,61.08,2,0.402,low,1.5,0.44000000000000006,-0.301
21,1787626560,LONG,4750.573,4750.573,0,0,HORIZON,60.05,2,0.374,mid,2,0.4,0.45
22,1787627760,LONG,4749.005,4749.34111,0.0071,1,TP,52.58,5,0.759,low,1.5,0.44000000000000006,0.168
23,1787628060,LONG,4748.799,4747.1264,-0.0352,3,SL,56.95,6,0.72,mid,2,0.4,0.104
24,1787628360,LONG,4748.26,4748.59498,0.0071,1,TP,44.89,6,0.599,high,2.3,0.36000000000000004,0.13
25,1787629860,LONG,4751.04,4751.4167,0.0079,1,TP,62.1,4,0.593,mid,2,0.4,0.684
26,1787630160,LONG,4749.86,4750.23502,0.0079,2,TP,53.05,3,0.485,mid,2,0.4,0.121
27,1787633160,SHORT,4755.131,4754.76173,0.0078,1,TP,54.07,7,0.728,mid,2,0.4,-0.101
28,1787634060,SHORT,4756.869,4756.48798,0.008,1,TP,55.09,1,0.327,low,1.5,0.44000000000000006,-0.298
29,1787634360,LONG,4758.283,4758.63967,0.0075,1,TP,50.99,2,0.421,high,2.3,0.36000000000000004,0.338
30,1787635260,LONG,4760.172,4760.55673,0.0081,1,TP,55,2,0.36,mid,2,0.4,0.176
31,1787642760,LONG,4756.807,4757.16969,0.0076,1,TP,53.03,4,0.486,high,2.3,0.36000000000000004,0.104
32,1787643060,LONG,4757.063,4757.40975,0.0073,2,TP,67.71,2,0.307,mid,2,0.4,0.242
33,1787645460,LONG,4763.59,4763.89545,0.0064,1,TP,47.94,2,0.383,extreme,2.7,0.27999999999999997,0.411
34,1787649960,LONG,4771.432,4770.10093,-0.0279,1,SL,53.73,1,0.333,low,1.5,0.44000000000000006,0.5
35,1787652360,SHORT,4766.488,4766.11325,0.0079,1,TP,50.99,1,0.333,low,1.5,0.44000000000000006,-0.454
36,1787654460,LONG,4770.266,4770.61988,0.0074,1,TP,48.95,2,0.487,high,2.3,0.36000000000000004,0.531
37,1787654760,LONG,4768.799,4769.15313,0.0074,2,TP,51.39,4,0.565,high,2.3,0.36000000000000004,0.172
38,1787656260,LONG,4764.773,4765.11865,0.0073,1,TP,45.85,4,0.518,mid,2,0.4,0.109
39,1787660160,LONG,4763.241,4763.57287,0.007,1,TP,67.44,1,0.328,high,2.3,0.36000000000000004,0.488
40,1787662560,SHORT,4761.742,4761.40944,0.007,1,TP,57.33,3,0.437,mid,2,0.4,-0.103
41,1787664060,LONG,4763.074,4763.43105,0.0075,3,TP,68.84,2,0.345,mid,2,0.4,0.237
42,1787670660,LONG,4764.883,4765.22921,0.0073,4,TP,62.72,1,0.301,low,1.5,0.44000000000000006,0.527
43,1787674260,SHORT,4764.993,4766.22858,-0.0259,4,SL,44,2,0.428,low,1.5,0.44000000000000006,-0.406
44,1787676060,LONG,4770.629,4770.97742,0.0073,1,TP,54.41,3,0.479,mid,2,0.4,0.183
45,1787676360,LONG,4771.804,4772.13379,0.0069,2,TP,61.04,1,0.492,low,1.5,0.44000000000000006,0.501
46,1787678160,LONG,4767.514,4767.82515,0.0065,1,TP,60.32,4,0.465,high,2.3,0.36000000000000004,0.217
47,1787680860,SHORT,4763.45,4763.13208,0.0067,1,TP,51.6,1,0.344,high,2.3,0.36000000000000004,-0.32
48,1787681460,LONG,4762.311,4759.82927,-0.0521,5,SL,46.37,8,0.709,extreme,2.7,0.27999999999999997,0.14
49,1787682060,LONG,4760.876,4761.1901,0.0066,2,TP,42.9,3,0.427,high,2.3,0.36000000000000004,0.16
50,1787682360,LONG,4761.519,4759.86375,-0.0348,5,SL,58.93,1,0.362,mid,2,0.4,0.384
51,1787683260,LONG,4758.372,4758.64323,0.0057,1,TP,34.21,4,0.433,extreme,2.7,0.27999999999999997,0.178
52,1787689260,LONG,4754.721,4755.05242,0.007,2,TP,61.91,3,0.461,low,1.5,0.44000000000000006,0.187
53,1787693460,LONG,4758.999,4758.999,0,0,HORIZON,57.08,2,0.463,mid,2,0.4,0.412
54,1787693760,LONG,4758.339,4758.66818,0.0069,1,TP,63.8,2,0.349,low,1.5,0.44000000000000006,0.175
