id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
1,1787579460,SHORT,99.8401,99.80128,0.0389,5,TP,63.84,1,0.31,high,2.3,0.36000000000000004,-0.273
2,1787582760,LONG,99.8094,99.84691,0.0376,5,TP,53.35,2,0.313,high,2.3,0.36000000000000004,0.107
3,1787583660,SHORT,99.7769,99.73889,0.0381,1,TP,52.16,1,0.336,mid,2,0.4,-0.546
4,1787585160,SHORT,99.3114,99.27382,0.0378,1,TP,51.89,2,0.436,mid,2,0.4,-0.163
5,1787585760,LONG,99.265,99.30241,0.0377,1,TP,48.38,2,0.384,mid,2,0.4,0.377
6,1787586960,LONG,99.5153,99.55291,0.0378,1,TP,63.05,4,0.643,mid,2,0.4,0.4
7,1787588460,LONG,99.7557,99.78562,0.03,1,TP,61.68,1,0.377,extreme,2.7,0.27999999999999997,0.617
8,1787590860,LONG,100.0356,99.84211,-0.1934,3,SL,57.35,2,0.363,mid,2,0.4,0.323
9,1787595960,SHORT,99.5714,99.53945,0.0321,1,TP,53.8,2,0.373,extreme,2.7,0.27999999999999997,-0.118
10,1787596860,SHORT,99.7203,99.68051,0.0399,4,TP,51.52,2,0.422,low,1.5,0.44000000000000006,-0.418
11,1787603460,LONG,100.3586,100.39798,0.0392,2,TP,58.21,4,0.536,low,1.5,0.44000000000000006,0.159
12,1787606160,LONG,101.4733,101.51174,0.0379,1,TP,32.33,2,0.347,high,2.3,0.36000000000000004,0.204
13,1787606460,LONG,101.5198,101.55928,0.0389,1,TP,57.35,3,0.473,mid,2,0.4,0.213
14,1787606760,LONG,101.5094,101.54617,0.0362,1,TP,63.43,2,0.302,high,2.3,0.36000000000000004,0.264
15,1787607360,LONG,101.4433,101.48343,0.0396,1,TP,49.34,2,0.377,mid,2,0.4,0.107
16,1787607960,LONG,101.4889,101.5283,0.0388,1,TP,59.59,1,0.314,mid,2,0.4,0.617
17,1787609160,LONG,101.7146,101.75655,0.0412,2,TP,61.44,4,0.565,low,1.5,0.44000000000000006,0.439
18,1787610660,LONG,101.2658,101.30287,0.0366,1,TP,50.76,4,0.53,mid,2,0.4,0.157
19,1787611560,LONG,101.1221,101.16067,0.0381,1,TP,55.37,6,0.726,mid,2,0.4,0.208
20,1787613360,SHORT,101.1614,101.12387,0.0371,3,TP,52.65,1,0.326,low,1.5,0.44000000000000006,-0.441
21,1787619660,SHORT,100.9176,100.88105,0.0362,1,TP,49.45,2,0.477,mid,2,0.4,-0.395
22,1787626860,LONG,101.3387,101.3387,0,0,HORIZON,63.84,4,0.59,mid,2,0.4,0.521
23,1787627160,LONG,101.2576,101.2958,0.0377,3,TP,67.78,2,0.326,mid,2,0.4,0.308
24,1787627460,LONG,101.3483,101.3483,0,0,HORIZON,64.95,1,0.337,mid,2,0.4,0.702
25,1787628960,SHORT,100.5443,100.68082,-0.1358,2,SL,41.38,1,0.378,low,1.5,0.44000000000000006,-0.272
26,1787629260,SHORT,100.7122,100.67601,0.0359,2,TP,68.34,4,0.58,high,2.3,0.36000000000000004,-0.202
